"","년도","분기","관광특구","매출금액","점포수"
"1",2018,1,"이태원",10619989988,120
"2",2018,1,"명동 남대문 북창동 다동 무교동",6370072711,87
"3",2018,1,"동대문패션타운",1827591319,36
"4",2018,1,"종로 청계",11654616840,130
"5",2018,1,"잠실",6771393545,74
"6",2018,2,"이태원",11526701629,114
"7",2018,2,"명동 남대문 북창동 다동 무교동",6310336884,84
"8",2018,2,"동대문패션타운",1949346287,35
"9",2018,2,"종로 청계",12027959423,124
"10",2018,2,"잠실",7766029725,70
"11",2018,3,"이태원",10626126753,108
"12",2018,3,"명동 남대문 북창동 다동 무교동",6477262568,83
"13",2018,3,"동대문패션타운",2159162144,33
"14",2018,3,"종로 청계",12186002592,114
"15",2018,3,"잠실",8125660924,69
"16",2018,4,"이태원",20416606270,104
"17",2018,4,"명동 남대문 북창동 다동 무교동",10764965359,84
"18",2018,4,"동대문패션타운",2783451661,29
"19",2018,4,"종로 청계",17843596012,113
"20",2018,4,"잠실",10670348447,69
"21",2019,1,"이태원",8029110117,97
"22",2019,1,"명동 남대문 북창동 다동 무교동",5680020149,81
"23",2019,1,"동대문패션타운",1631185483,29
"24",2019,1,"종로 청계",7933730600,109
"25",2019,1,"잠실",6034445228,70
"26",2019,2,"이태원",7622654362,92
"27",2019,2,"명동 남대문 북창동 다동 무교동",5122152391,78
"28",2019,2,"동대문패션타운",1595373434,29
"29",2019,2,"종로 청계",7138684316,110
"30",2019,2,"잠실",6065840119,67
"31",2019,3,"이태원",7389906916,84
"32",2019,3,"명동 남대문 북창동 다동 무교동",5136379591,75
"33",2019,3,"동대문패션타운",1564756630,29
"34",2019,3,"종로 청계",7780760633,103
"35",2019,3,"잠실",6110487282,66
"36",2019,4,"이태원",7940239976,84
"37",2019,4,"명동 남대문 북창동 다동 무교동",6313596917,73
"38",2019,4,"동대문패션타운",1689468232,26
"39",2019,4,"종로 청계",9933179331,100
"40",2019,4,"잠실",6405806985,59
"41",2020,1,"이태원",5785496574,111
"42",2020,1,"명동 남대문 북창동 다동 무교동",4641483256,80
"43",2020,1,"동대문패션타운",1299616917,26
"44",2020,1,"종로 청계",6642949626,112
"45",2020,1,"잠실",5508586013,61
"46",2020,2,"이태원",2939663300,101
"47",2020,2,"명동 남대문 북창동 다동 무교동",5797125431,74
"48",2020,2,"동대문패션타운",1486176768,26
"49",2020,2,"종로 청계",6568033246,100
"50",2020,2,"잠실",6306336245,58
"51",2020,3,"이태원",2478665642,98
"52",2020,3,"명동 남대문 북창동 다동 무교동",5119568785,71
"53",2020,3,"동대문패션타운",1274217107,26
"54",2020,3,"종로 청계",5642058872,100
"55",2020,3,"잠실",5278642490,54
"56",2020,4,"이태원",2524276084,88
"57",2020,4,"명동 남대문 북창동 다동 무교동",4425497497,70
"58",2020,4,"동대문패션타운",1058076788,24
"59",2020,4,"종로 청계",4152856678,94
"60",2020,4,"잠실",4513957544,55
"61",2021,1,"잠실",3070370444,56
"62",2021,1,"종로 청계",2571862937,90
"63",2021,1,"동대문패션타운",837830340,24
"64",2021,1,"명동 남대문 북창동 다동 무교동",3591143802,68
"65",2021,1,"이태원",1527956512,83
"66",2021,2,"잠실",4336481530,56
"67",2021,2,"종로 청계",4214283712,89
"68",2021,2,"동대문패션타운",1073470546,25
"69",2021,2,"명동 남대문 북창동 다동 무교동",4923432823,65
"70",2021,2,"이태원",2281158080,82
"71",2021,3,"잠실",3009513163,55
"72",2021,3,"종로 청계",2509529772,85
"73",2021,3,"동대문패션타운",1060814861,25
"74",2021,3,"명동 남대문 북창동 다동 무교동",3398108817,64
"75",2021,3,"이태원",1434400504,78
"76",2021,4,"잠실",5566115078,52
"77",2021,4,"종로 청계",5061517346,84
"78",2021,4,"동대문패션타운",1158636034,22
"79",2021,4,"명동 남대문 북창동 다동 무교동",4941045138,63
"80",2021,4,"이태원",3719243221,71
